,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
1240,2013-06-09,2.0770693906086315,26.693423979927726,17.130552193017373,36.98247391107046,37,1,0.017526088929542993
1247,2013-06-16,2.088696099086452,26.6613754383091,17.137510017871875,36.833621353579105,14,-1,3.1375100178718753
1267,2013-07-06,2.121915266165941,30.05489355795682,19.546997743649268,40.168996158232176,16,-1,3.5469977436492677
1268,2013-07-07,2.123576224519915,28.101930827813497,18.018624603844028,38.95372120736303,17,-1,1.018624603844028
1271,2013-07-10,2.1285590995818384,20.35399500349545,10.179464430256784,31.1668956736313,32,1,0.8331043263687015
1281,2013-07-20,2.1451687020407335,30.516616084094682,20.1546154936778,41.260060682050295,19,-1,1.1546154936777988
1282,2013-07-21,2.146829662759602,28.616524318777227,18.185344881450554,38.79204059909167,18,-1,0.18534488145055406
1292,2013-07-31,2.163439269948285,18.891389338840934,9.153784222290133,29.647176949811787,33,1,3.3528230501882135
1294,2013-08-02,2.1667611913860214,22.07646755244399,12.226118691995596,32.7967520738207,9,-1,3.2261186919955964
1295,2013-08-03,2.16842215210489,28.30558769150737,17.393087691094973,39.7943130278439,17,-1,0.39308769109497277
1308,2013-08-16,2.190014641450178,25.387772745417927,15.234787573517695,36.34268902666688,37,1,0.6573109733331179
1335,2013-09-12,2.2348605808596225,22.98286397309442,12.57764351435246,33.415194961075194,36,1,2.584805038924806
1339,2013-09-16,2.2415044237350954,21.442979410459184,11.695456640928061,31.605070866310808,37,1,5.3949291336891925
1341,2013-09-18,2.2448263451728323,22.291507643507952,12.359717027338393,32.35446877511992,42,1,9.64553122488008
1352,2013-09-29,2.2630969130803837,29.88074299344469,19.665834931486987,40.3094985882938,17,-1,2.6658349314869874
1355,2013-10-02,2.2680797952369884,21.686888273041884,11.214737463289504,32.26254532437706,37,1,4.737454675622942
1358,2013-10-05,2.2730626773935936,31.176096243396582,21.042865264289667,41.90444419024353,17,-1,4.0428652642896665
1366,2013-10-13,2.28635036314454,28.818714894774324,18.852146497190645,39.636184736919574,18,-1,0.8521464971906454
1369,2013-10-16,2.2913332453011446,21.131380143317347,10.73380436111355,31.894172733348487,33,1,1.105827266651513
1384,2013-10-31,2.3162476560841694,20.234969557301074,9.302817763681693,30.531697554761674,34,1,3.4683024452383258
1387,2013-11-03,2.3212305382407745,28.901322853173017,18.302493865495528,39.61045762569194,16,-1,2.302493865495528
1390,2013-11-06,2.3189702851119804,21.50649461758524,11.420272828212322,30.96844887793924,31,1,0.031551122060758274
1398,2013-11-14,2.2743128885797486,21.52044071002717,11.078001640107425,32.144233726263174,39,1,6.855766273736826
1419,2013-12-05,2.1570872226826427,18.9265249872343,8.497595221386284,29.07648078444293,30,1,0.9235192155570715
1436,2013-12-22,2.0621902550516515,26.49629583174035,15.830904256439815,36.796439325976436,12,-1,3.8309042564398155
1443,2013-12-29,2.0231150330859493,26.51233764095138,16.367891959223826,36.813534251007326,15,-1,1.367891959223826
1444,2013-12-30,2.01753285851942,18.4337956990193,8.202445808940459,29.063018339178484,30,1,0.936981660821516
1449,2014-01-04,1.9896219856867758,27.606140371673188,16.500503440889716,38.189126363407425,13,-1,3.500503440889716
1455,2014-01-10,1.9561289382876024,19.16764312180711,9.065636169633523,30.201643738428697,6,-1,3.065636169633523
1459,2014-01-14,1.9338002400214875,14.541323583991066,4.087327000778687,24.839712243512764,25,1,0.1602877564872358
1511,2014-03-07,1.68250039835346,19.082588622505398,9.074498026328408,30.237532741514357,9,-1,0.07449802632840807
1552,2014-04-17,1.7199483523675259,17.98961639464378,7.735732774851825,28.649487287390738,36,1,7.350512712609262
1567,2014-05-02,1.7336488233482816,20.323947319227912,9.640579761247185,31.27898248070577,36,1,4.721017519294229
1589,2014-05-24,1.7537428474533898,24.507720458975463,14.686572518766816,34.4061109113626,14,-1,0.6865725187668161
1597,2014-06-01,1.761049765309793,23.282207463539606,12.910219932312671,34.34230059225114,12,-1,0.9102199323126712
1617,2014-06-21,1.7793170599508006,24.98786244472731,14.224940711441617,34.89440185155594,37,1,2.1055981484440593
1637,2014-07-11,1.7979342606044912,19.939899077552806,8.629869672557021,30.942842801831752,31,1,0.05715719816824816
1642,2014-07-16,1.8026104298937067,17.5907817423532,6.848338489796991,27.548671168728948,30,1,2.451328831271052
1650,2014-07-24,1.8100923007564511,17.604635551476175,7.821325934009475,28.42413895518084,34,1,5.57586104481916
1663,2014-08-06,1.822250340908411,15.971167841200169,5.52124164091653,26.57588810434713,32,1,5.424111895652871
1694,2014-09-06,1.851242590501546,25.937019592830843,16.019248648344604,37.15953917573159,11,-1,5.019248648344604
1722,2014-10-04,1.8774291385211517,25.960506094122113,15.612989900063488,36.572159019722136,38,1,1.427840980277864
1758,2014-11-09,1.9362904119240327,25.107346598613,14.389024095471934,34.90001856853509,13,-1,1.3890240954719335
1769,2014-11-20,1.9591744116205718,18.93413869161783,8.523976700232502,29.599660000721922,8,-1,0.5239767002325024
1829,2015-01-19,2.0839962281471482,17.533756641693135,7.79569281009521,28.450866776317145,29,1,0.5491332236828548
1854,2015-02-13,2.1303459788672505,21.261508537878147,10.546354305129777,32.360845896527884,33,1,0.6391541034721158
1856,2015-02-15,2.1288473665854983,25.958228394076354,15.629556559496645,35.7099059109486,39,1,3.2900940890514008
1859,2015-02-18,2.12659944816287,19.418338294786555,9.120416507308997,29.814808505885917,30,1,0.18519149411408264
1874,2015-03-05,2.1153598560497286,21.817655118035926,10.81955124636773,32.76623914690273,33,1,0.233760853097273
1890,2015-03-21,2.103370957795711,30.930289857083455,20.34397931837311,40.92509736377637,43,1,2.0749026362236265
1897,2015-03-28,2.0981258148095785,31.246536085176515,21.124845620216714,40.881536246821206,51,1,10.118463753178794
1898,2015-03-29,2.0973765086687024,29.56078326967245,19.120199042899593,39.440030229310146,72,1,32.559969770689854
1932,2015-05-02,2.071900099878915,30.178584147923083,19.738717975821515,40.54747705058655,42,1,1.4525229494134493
1933,2015-05-03,2.0711507937380396,28.606623519441783,18.74242702185103,38.94278903151777,41,1,2.057210968482231
1946,2015-05-16,2.0614098139066503,30.84335266460212,20.329977842747244,41.465150619848195,14,-1,6.329977842747244
1952,2015-05-22,2.056913977061394,23.15014007442252,12.559763188420673,33.72152060713236,37,1,3.278479392867638
1986,2015-06-25,2.030715099570088,20.777690619850393,10.812446172525291,30.34390720795157,9,-1,1.8124461725252914
1988,2015-06-27,2.029136212988167,29.60732926726528,19.517741547639204,40.4654752204698,42,1,1.5345247795302015
2003,2015-07-12,2.0172945636237603,26.452604865938454,16.118940251373953,36.18538447186315,39,1,2.814615528136848
2024,2015-08-02,2.000716254513591,24.430644897456713,14.524533567950787,34.4207969267166,14,-1,0.5245335679507868
2028,2015-08-06,1.9975584813497491,17.83669976344454,7.100247568193226,27.888610625887544,7,-1,0.10024756819322622
2042,2015-08-20,1.9865062752763027,21.317713244605496,11.721210409454972,31.111764737286624,11,-1,0.7212104094549723
2059,2015-09-06,1.973085739329975,25.93544481814226,15.156802462284872,37.089912151338886,38,1,0.9100878486611137
2062,2015-09-09,1.9707174094570936,19.382871952119935,9.489003036875864,29.446639851946642,6,-1,3.4890030368758644
2077,2015-09-24,1.9588757600926867,19.219530868996284,9.041354367550012,28.984284987548516,9,-1,0.04135436755001187
2079,2015-09-26,1.9572968735107659,27.455563328006487,17.469096835568024,37.78750458360813,42,1,4.212495416391867
2087,2015-10-04,1.9511875487339405,25.357202661027852,15.405009903886036,35.770982850290785,36,1,0.2290171497092146
2094,2015-10-11,1.9461426293158857,24.401309761517087,14.044413542639381,34.42288608817687,35,1,0.5771139118231332
